BUF,MIA,NE,NYJ,BAL,CIN,CLE,PIT,HOU,IND,JAX,TEN,DEN,KC,LV,LAC,DAL,NYG,PHI,WAS,CHI,DET,GB,MIN,ATL,CAR,NO,TB,ARI,LAR,SF,SEA
LDE,DE,DE,LDE,DE,LDE,LDE,DE,LDE,DE,DE,DE,LDE,LDE,DE,DE,LDE,DE,LDE,LDE,LDE,LDE,DE,DE,DE,LDE,LDE,LDE,DE,DE,DE,DE
Greg Rousseau,Emmanuel Ogbah,Deatrich Wise Jr.,Carl Lawson,Calais Campbell,Sam Hubbard,Myles Garrett,Larry Ogunjobi,Ogbonnia Okoronkwo,Kwity Paye,Roy Robertson-Harris,Denico Autry,Dre'Mont Jones,George Karlaftis,Bilal Nichols,Jerry Tillery,DeMarcus Lawrence,Leonard Williams,Brandon Graham,Chase Young,Al-Quadin Muhammad,Aidan Hutchinson,Dean Lowry,Harrison Phillips,Ta'Quon Graham,Brian Burns,Cameron Jordan,William Gholston,J.J. Watt,A'Shawn Robinson,Nick Bosa,Shelby Harris
Boogie Basham,Adam Butler,Henry Anderson,Bryce Huff,Brent Urban,Cam Sample,Alex Wright,Chris Wormley,Mario Addison,Tyquan Lewis,Arden Key,DeMarcus Walker,DeShawn Williams,Mike Danna,Matthew Butler,Morgan Fox,Dante Fowler Jr.,Jalyn Holmes,Josh Sweat,James Smith-Williams,Dominique Robinson,Romeo Okwara,Jack Heflin,Esezi Otomewo,Marlon Davidson,Marquis Haynes Sr.,Tanoh Kpassagnon,Logan Hall,Michael Dogbe,Michael Hoecht,Kemoko Turay,L.J. Collier
Shaq Lawson,Owen Carney,Bill Murray,Tim Ward,Rayshad Nichols,Wyatt Hubert,Stephen Weatherly,Isaiahh Loudermilk,Jerry Hughes,Bryan Cox,Jeremiah Ledbetter,Da'Shawn Hand,Marquiss Spencer,Malik Herring,Kendal Vickers,Joe Gaziano,Tarell Basham,Ryder Anderson,Matt Leo,Casey Toohill,Sam Kamara,Josh Paschal,Chris Slayton,Jonathan Bullard,Nick Thurman,Austin Larkin,Carl Granderson,Benning Potoa'e,Jonathan Ledbetter,Earnest Brown IV,Charles Omenihu,Jarrod Hewitt
LDT,NT,NT,LDT,NT,NT,LDT,NT,NT,NT,NT,NT,NT,LDT,NT,NT,NT,NT,LDT,LDT,NT,NT,NT,NT,NT,LDT,LDT,NT,NT,NT,NT,NT
Ed Oliver,Raekwon Davis,Christian Barmore,Quinnen Williams,Michael Pierce,DJ Reader,Jordan Elliott,Tyson Alualu,Roy Lopez,Grover Stewart,Folorunso Fatukasi,Teair Tart,Mike Purcell,Derrick Nnadi,Johnathan Hankins,Austin Johnson,Neville Gallimore,Justin Ellis,Fletcher Cox,Daron Payne,Angelo Blackson,Alim McNeill,Kenny Clark,Dalvin Tomlinson,Eddie Goldman,Derrick Brown,David Onyemata,Vita Vea,Leki Fotu,Greg Gaines,Javon Kinlaw,Al Woods
Jordan Phillips,John Jenkins,Davon Godchaux,Solomon Thomas,Travis Jones,Josh Tupou,Perrion Winfrey,Montravius Adams,Thomas Booker IV,Eric Johnson,DaVon Hamilton,Naquan Jones,McTelvin Agim,Tershawn Wharton,Neil Farrell Jr.,Otito Ogbonnia,John Ridgeway,D.J. Davidson,Jordan Davis,Phidarian Mathis,Khyiris Tonga,Jashon Cornell,T.J. Slaton,James Lynch,Anthony Rush,Daviyon Nixon,Kentavius Street,Rakeem Nunez-Roches,Rashard Lawrence,Bobby Brown III,Hassan Ridgeway,Bryan Mone
Brandin Bryant,Benito Jones,Carl Davis Jr.,Jonathan Marshall,Isaiah Mack,Tyler Shelvin,Sheldon Day,Carlos Davis,Damion Daniels,Chris Williams,Raequan Williams,Jayden Peevy,Matt Henningsen,Cortez Broughton,Andrew Billings,Forrest Merrill,Quinton Bohanna,Christopher Hinton,Marlon Tuipulotu,Justin Hamilton,LaCale London,Demetrius Taylor,Jonathan Ford,T.Y. McGill,Timmy Horne,Phil Hoskins,Albert Huggins,Deadrin Senat,Matt Dickerson,Elijah Garcia,Kevin Givens,Matt Gotel
RDT,DT,DT,RDT,DT,DT,RDT,DT,DT,DT,DT,DT,RDE,RDT,DT,DT,DT,DT,RDT,RDT,DT,DT,DT,DT,DT,RDT,RDT,RDE,DT,DT,DT,DT
DaQuan Jones,Christian Wilkins,Lawrence Guy,John Franklin-Myers,Justin Madubuike,B.J. Hill,Taven Bryan,Cameron Heyward,Maliek Collins,DeForest Buckner,Malcom Brown,Jeffery Simmons,Eyioma Uwazurike,Chris Jones,Vernon Butler,Sebastian Joseph-Day,Osa Odighizuwa,Dexter Lawrence,Javon Hargrave,Jonathan Allen,Justin Jones,Michael Brockers,Jarran Reed,Armon Watts,Grady Jarrett,Matt Ioannidis,Shy Tuttle,Akiem Hicks,Zach Allen,Aaron Donald,Arik Armstead,Poona Ford
