season,week,gameId,eventId,teamId,playerId,actionType,targetType,targetDirection,targetDepth,yards,yardsAfterCatch,firstContact,yardsAfterContact,yardsBeforeContact,scoreType,inMotion,fumbled,fumbleLost,missedTackles,targetLinedUp,lastUpdate,trueYardage,noContact,rawYardsAfterContact
2019,18,2782,10,4,6983,2,10,5,-4,7,11,-2,9,-2,0,True,False,False,0,1,2020-01-05T13:41:53.323,7,,9.0
2019,18,2782,30,4,5119,2,34,4,-4,4,8,4,0,4,0,True,False,False,1,3,2020-01-05T13:22:30.177,4,,0.0
2019,18,2782,35,4,5224,2,11,3,11,16,5,16,0,16,6,False,False,False,0,6,2020-01-05T13:23:51.413,16,,0.0
2019,18,2782,50,13,2136,2,5,5,5,5,0,5,0,5,0,False,False,False,0,3,2020-01-05T13:27:45.357,5,,0.0
2019,18,2782,70,13,2136,2,12,10,11,11,0,11,0,11,0,False,False,False,0,2,2020-01-05T13:32:12.48,11,,0.0
2019,18,2782,85,13,245,13,6,4,10,0,0,0,0,0,0,False,False,False,0,3,2020-01-05T13:36:20.637,0,,0.0
2019,18,2782,100,4,5119,2,30,9,-3,4,7,3,1,3,0,True,False,False,0,1,2020-02-20T19:02:30.063,4,,1.0
2019,18,2782,110,4,3448,2,13,3,7,7,0,7,0,7,0,False,False,False,0,3,2020-01-05T13:43:45.623,7,,0.0
2019,18,2782,115,4,2629,3,7,6,18,0,0,0,0,0,0,False,False,False,0,3,2020-01-05T13:46:00.18,0,,
2019,18,2782,120,4,1113,3,32,10,-2,0,0,0,0,0,0,False,False,False,0,1,2020-01-05T13:49:29.39,0,,0.0
2019,18,2782,130,4,6953,13,4,3,6,0,0,0,0,0,0,True,False,False,0,2,2020-02-20T19:02:58.173,0,,0.0
2019,18,2782,135,4,594,2,10,10,-2,7,9,4,3,4,0,False,False,False,0,3,2020-01-05T15:15:24.337,7,,3.0
2019,18,2782,150,13,404,2,15,10,-5,5,10,-3,8,-3,0,False,False,False,1,1,2020-01-08T01:12:06.153,5,,8.0
2019,18,2782,155,13,1430,2,5,9,4,11,7,8,3,8,0,False,False,False,1,3,2020-01-05T14:00:23.26,11,,3.0
2019,18,2782,160,13,245,13,4,9,5,0,0,0,0,0,0,False,False,False,0,3,2020-01-05T14:01:36.31,0,,0.0
2019,18,2782,200,4,6983,13,2,9,6,0,0,0,0,0,0,False,False,False,0,2,2020-01-05T14:13:15.51,0,,0.0
2019,18,2782,210,4,5119,2,13,10,7,10,3,11,-1,11,0,False,False,False,0,2,2020-01-05T14:17:37.293,10,,-1.0
2019,18,2782,215,4,1412,2,4,7,20,28,8,28,0,28,0,False,False,False,0,2,2020-01-06T19:48:06.92,28,,0.0
2019,18,2782,225,4,1412,13,8,8,22,0,0,0,0,0,0,False,False,False,0,2,2020-01-05T14:31:49.307,0,,0.0
2019,18,2782,235,4,1412,13,7,2,19,0,0,0,0,0,0,False,False,False,0,3,2020-01-05T14:34:02.473,0,,0.0
2019,18,2782,260,13,1430,2,5,10,8,10,2,9,1,9,0,False,False,False,0,4,2020-01-05T14:39:23.653,10,,1.0
2019,18,2782,280,13,404,2,1,3,1,7,6,5,2,5,0,False,False,False,0,1,2020-01-05T14:48:13.993,7,,2.0
2019,18,2782,320,4,3448,2,35,6,15,15,0,15,0,15,0,False,False,False,0,3,2020-01-06T19:48:21.41,15,,0.0
2019,18,2782,330,4,594,2,26,10,7,21,14,18,3,18,0,False,False,False,1,3,2020-01-05T15:08:04.333,21,,3.0
2019,18,2782,335,4,6983,2,4,5,3,12,9,3,9,3,0,False,False,False,2,2,2020-01-08T01:13:56.633,12,,9.0
