"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2020","Diontae Johnson","Steelers","WR","9","16","6","3","3","0","94","169","91","3","0","1","0","0","3","0","0"
"[object Object]","2020","Dan Arnold","Cardinals","TE","7","10","3","2","2","0","84","57","48","36","0","1","0","0","2","0","0"
"[object Object]","2020","Mike Williams","Chargers","WR","9","14","3","2","2","0","78","64","51","27","0","1","0","0","2","0","0"
"[object Object]","2020","DK Metcalf","Seahawks","WR","7","19","6","5","5","0","77","84","70","7","4","2","0","0","5","0","0"
"[object Object]","2020","Chad Hansen","Texans","WR","4","13","5","5","4","1","71","67","62","9","1","0","0","0","3","0","0"
"[object Object]","2020","Justin Jefferson","Vikings","WR","9","18","3","3","2","1","71","24","20","51","12","0","0","1","2","0","0"
"[object Object]","2020","Michael Gallup","Cowboys","WR","9","21","5","4","4","0","70","59","52","18","15","0","0","0","3","1","0"
"[object Object]","2020","Jalen Guyton","Chargers","WR","8","19","2","2","2","0","68","95","60","8","2","0","0","0","2","1","20"
"[object Object]","2020","Tim Patrick","Broncos","WR","10","17","7","7","6","0","61","35","32","29","7","0","0","0","3","0","0"
"[object Object]","2020","Jakobi Meyers","Patriots","WR","5","9","3","3","3","0","61","43","43","18","8","0","0","0","2","0","0"
"[object Object]","2020","Corey Davis","Titans","WR","9","18","3","3","3","0","58","30","30","28","2","0","0","0","2","0","0"
"[object Object]","2020","Adam Humphries","Titans","WR","6","16","5","5","5","0","56","49","49","7","1","1","0","0","1","0","0"
"[object Object]","2020","Tee Higgins","Bengals","WR","8","13","3","3","3","0","55","29","29","26","10","0","1","0","3","0","0"
"[object Object]","2020","Cooper Kupp","Rams","WR","6","10","4","4","4","0","54","21","21","33","18","0","1","0","3","0","0"
"[object Object]","2020","Alvin Kamara","Saints","RB","8","16","6","6","5","0","51","36","30","21","4","1","0","0","3","0","0"
"[object Object]","2020","Dalton Schultz","Cowboys","TE","8","19","3","3","3","0","51","31","31","20","17","1","2","0","2","0","0"
"[object Object]","2020","Breshad Perriman","Jets","WR","8","18","5","3","2","0","50","148","39","11","2","0","0","0","1","1","20"
"[object Object]","2020","Logan Thomas","Football Team","TE","11","22","6","4","4","0","48","36","30","18","8","0","0","2","2","0","0"
"[object Object]","2020","Denzel Mims","Jets","WR","4","9","4","3","3","0","47","44","12","35","16","0","1","1","2","0","0"
"[object Object]","2020","Emmanuel Sanders","Saints","WR","7","15","4","4","4","0","45","39","39","6","2","0","0","0","2","0","0"
"[object Object]","2020","Gabriel Davis","Bills","WR","9","19","5","4","3","0","44","73","35","9","5","1","1","0","1","0","0"
"[object Object]","2020","Adam Thielen","Vikings","WR","8","15","4","4","4","0","44","38","38","6","0","0","0","0","4","0","0"
"[object Object]","2020","Hunter Bryant","Lions","TE","1","1","1","1","1","0","44","32","32","12","11","0","1","0","1","0","0"
"[object Object]","2020","Rob Gronkowski","Buccaneers","TE","7","15","5","4","3","0","43","65","34","9","5","2","0","0","3","0","0"
"[object Object]","2020","Joshua Kelley","Chargers","RB","3","3","2","2","2","0","43","-6","-6","49","12","0","0","0","1","0","0"
"[object Object]","2020","Greg Olsen","Seahawks","TE","5","12","3","2","2","0","42","38","32","10","0","0","0","0","2","0","0"
"[object Object]","2020","Cole Beasley","Bills","WR","9","21","7","6","5","0","40","38","28","12","3","1","0","0","2","0","0"
"[object Object]","2020","Travis Kelce","Chiefs","TE","10","17","7","5","4","0","39","57","31","8","2","2","0","0","2","0","0"
