"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2020","Stefon Diggs","Bills","WR","16","176","59","48","44","1","664","724","457","207","70","7","3","6","33","2","36"
"[object Object]","2020","Justin Jefferson","Vikings","WR","16","121","43","35","32","0","609","691","439","170","91","4","4","2","24","5","109"
"[object Object]","2020","Davante Adams","Packers","WR","14","114","49","41","39","0","510","457","286","224","50","10","1","4","34","1","16"
"[object Object]","2020","Robby Anderson","Panthers","WR","16","125","42","32","27","1","489","539","275","214","126","1","2","3","20","3","26"
"[object Object]","2020","Darren Waller","Raiders","TE","16","138","51","38","33","1","448","487","264","184","90","5","3","0","26","1","19"
"[object Object]","2020","A.J. Brown","Titans","WR","14","135","44","35","28","4","433","612","281","152","145","5","4","2","24","5","100"
"[object Object]","2020","DK Metcalf","Seahawks","WR","15","137","37","29","22","3","425","535","281","144","67","4","3","2","22","1","46"
"[object Object]","2020","Allen Robinson","Bears","WR","16","153","52","38","32","0","416","517","269","147","60","1","3","2","24","2","45"
"[object Object]","2020","Will Fuller V","Texans","WR","11","122","24","18","16","1","393","413","256","137","57","5","0","0","12","1","15"
"[object Object]","2020","Calvin Ridley","Falcons","WR","15","118","33","24","19","1","388","551","265","123","74","2","0","5","16","2","28"
"[object Object]","2020","Amari Cooper","Cowboys","WR","16","115","36","30","27","2","375","368","263","112","41","2","0","1","17","0","0"
"[object Object]","2020","DeVante Parker","Dolphins","WR","14","132","37","28","25","2","354","489","271","83","46","0","1","3","20","6","89"
"[object Object]","2020","Tyreek Hill","Chiefs","WR","15","108","22","18","15","1","341","387","256","85","30","4","0","2","12","0","0"
"[object Object]","2020","Corey Davis","Titans","WR","14","128","35","29","24","3","316","386","236","80","27","2","1","0","19","0","0"
"[object Object]","2020","DeAndre Hopkins","Cardinals","WR","15","93","29","24","21","0","316","260","166","150","69","2","1","3","16","1","4"
"[object Object]","2020","Terry McLaurin","Football Team","WR","15","128","31","22","18","0","312","388","206","106","37","2","1","2","18","2","6"
"[object Object]","2020","Tyler Boyd","Bengals","WR","15","125","34","28","24","0","307","367","200","107","37","0","1","1","20","0","0"
"[object Object]","2020","Brandin Cooks","Texans","WR","15","159","35","23","17","2","305","424","209","96","30","0","0","0","12","0","0"
"[object Object]","2020","Tee Higgins","Bengals","WR","15","115","34","29","22","1","301","471","229","72","49","3","1","0","19","1","22"
"[object Object]","2020","Mike Williams","Chargers","WR","14","106","36","28","19","2","274","503","206","68","49","2","1","0","13","1","10"
"[object Object]","2020","Tim Patrick","Broncos","WR","15","117","22","13","13","1","273","397","185","88","43","1","0","1","11","3","41"
"[object Object]","2020","DJ Moore","Panthers","WR","15","121","27","18","13","4","271","380","211","60","34","0","2","0","10","0","0"
"[object Object]","2020","Chase Claypool","Steelers","WR","16","101","28","20","16","2","269","550","179","90","25","3","0","0","12","4","84"
"[object Object]","2020","Gabriel Davis","Bills","WR","16","131","24","17","13","0","267","378","196","71","23","3","3","0","11","1","10"
"[object Object]","2020","Darius Slayton","Giants","WR","16","160","33","18","15","1","264","460","186","78","31","1","0","1","15","0","0"
"[object Object]","2020","Cooper Kupp","Rams","WR","15","106","33","24","23","0","261","252","139","122","41","1","2","2","17","0","0"
"[object Object]","2020","Jakobi Meyers","Patriots","WR","13","90","26","21","18","2","254","247","170","84","26","0","0","2","13","0","0"
"[object Object]","2020","Jamison Crowder","Jets","WR","12","137","35","26","22","2","251","292","164","87","42","2","1","2","15","0","0"
"[object Object]","2020","Tyler Lockett","Seahawks","WR","16","140","28","24","22","1","251","295","170","81","22","3","1","3","14","1","18"
"[object Object]","2020","Keenan Allen","Chargers","WR","14","121","38","29","23","1","240","341","138","102","53","0","0","3","18","2","45"
"[object Object]","2020","Diontae Johnson","Steelers","WR","14","128","43","35","25","6","239","325","148","91","47","4","1","4","15","0","0"
"[object Object]","2020","Mike Gesicki","Dolphins","TE","15","123","34","27","23","1","235","339","166","69","33","0","0","0","14","2","11"
"[object Object]","2020","Marvin Jones","Lions","WR","15","131","33","22","21","1","235","390","165","70","67","2","2","3","14","2","27"
"[object Object]","2020","Cole Beasley","Bills","WR","15","136","27","20","18","1","235","244","152","83","19","1","0","1","14","1","5"
"[object Object]","2020","Evan Engram","Giants","TE","16","152","37","29","19","4","234","310","140","94","30","1","0","0","13","1","2"
"[object Object]","2020","Nelson Agholor","Raiders","WR","15","113","24","18","14","2","234","369","175","59","23","2","1","1","14","3","55"
"[object Object]","2020","Adam Thielen","Vikings","WR","15","126","37","26","21","0","231","469","178","53","13","8","0","0","15","2","31"
