"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2020","Noah Fant","Broncos","TE","14","68","13","11","11","0","168","22","17","151","58","0","1","3","7","0","0"
"[object Object]","2020","David Montgomery","Bears","RB","15","106","19","17","16","1","133","14","7","126","53","0","3","3","8","0","0"
"[object Object]","2020","Dalton Schultz","Cowboys","TE","16","55","18","14","13","0","133","51","34","99","38","1","2","1","7","0","0"
"[object Object]","2020","Hayden Hurst","Falcons","TE","16","125","17","15","14","0","121","76","68","53","18","0","1","2","8","0","0"
"[object Object]","2020","Jonathan Taylor","Colts","RB","15","82","16","15","15","0","118","-3","-1","119","37","0","1","2","5","0","0"
"[object Object]","2020","Mike Davis","Panthers","RB","14","80","20","20","18","1","110","9","6","104","35","1","1","4","6","0","0"
"[object Object]","2020","Kyle Rudolph","Vikings","TE","10","36","11","11","10","0","108","20","15","93","14","0","0","1","5","0","0"
"[object Object]","2020","Evan Engram","Giants","TE","16","88","16","14","13","0","87","32","25","62","27","0","1","0","6","0","0"
"[object Object]","2020","Logan Thomas","Football Team","TE","15","69","15","14","14","0","87","11","9","78","26","0","0","2","2","0","0"
"[object Object]","2020","Drew Sample","Bengals","TE","15","68","12","12","12","0","86","14","14","72","24","1","1","0","4","0","0"
"[object Object]","2020","Dawson Knox","Bills","TE","10","35","7","6","5","0","84","9","9","75","20","0","0","0","4","0","0"
"[object Object]","2020","J.D. McKissic","Football Team","RB","16","54","18","16","13","1","77","7","10","67","17","1","0","1","4","0","0"
"[object Object]","2020","Leonard Fournette","Buccaneers","RB","10","46","13","13","13","0","75","1","1","74","19","0","1","0","2","0","0"
"[object Object]","2020","Darren Waller","Raiders","TE","16","60","13","12","12","0","74","11","11","63","38","1","2","0","4","0","0"
"[object Object]","2020","Tyler Higbee","Rams","TE","12","29","8","8","8","0","74","16","16","58","37","2","2","0","5","0","0"
"[object Object]","2020","James Robinson","Jaguars","RB","12","55","14","14","13","1","72","-22","-23","95","25","2","2","3","4","0","0"
"[object Object]","2020","Tyler Conklin","Vikings","TE","10","39","8","7","7","0","72","1","1","71","19","1","3","1","4","0","0"
"[object Object]","2020","Giovani Bernard","Bengals","RB","12","47","14","14","12","2","71","16","14","57","12","2","0","0","6","0","0"
"[object Object]","2020","Durham Smythe","Dolphins","TE","12","35","11","11","11","0","71","26","26","45","18","1","0","0","5","0","0"
"[object Object]","2020","Jamaal Williams","Packers","RB","14","39","11","11","11","0","71","11","11","60","19","1","1","0","6","0","0"
"[object Object]","2020","Austin Ekeler","Chargers","RB","9","56","14","12","12","0","69","26","20","49","14","1","0","0","2","0","0"
"[object Object]","2020","Alvin Kamara","Saints","RB","14","43","14","13","11","1","68","17","16","57","13","1","1","2","6","0","0"
"[object Object]","2020","Ronald Jones II","Buccaneers","RB","14","46","12","10","8","1","66","17","11","65","28","1","0","1","1","0","0"
"[object Object]","2020","Jerick McKinnon","49ers","RB","10","35","10","9","9","0","65","24","19","46","16","1","1","0","4","0","0"
"[object Object]","2020","Clyde Edwards-Helaire","Chiefs","RB","13","75","12","10","8","0","64","13","4","60","40","1","1","4","3","0","0"
"[object Object]","2020","C.J. Ham","Vikings","FB","11","36","5","5","5","0","64","9","9","55","10","1","1","0","3","0","0"
"[object Object]","2020","Kaden Smith","Giants","TE","14","36","10","10","10","0","61","12","12","49","23","0","0","2","5","0","0"
"[object Object]","2020","Darrell Daniels","Cardinals","TE","7","22","4","4","4","0","61","11","11","50","2","0","1","1","2","0","0"
"[object Object]","2020","Latavius Murray","Saints","RB","14","37","7","7","7","0","60","1","1","59","13","0","0","1","3","0","0"
"[object Object]","2020","Jimmy Graham","Bears","TE","16","47","12","11","11","0","59","-7","-8","67","18","1","0","1","3","0","0"
"[object Object]","2020","Adam Shaheen","Dolphins","TE","12","25","7","6","6","0","58","6","1","57","14","1","2","0","4","0","0"
"[object Object]","2020","Nick Vannett","Broncos","TE","12","27","7","7","6","1","58","5","7","51","11","0","0","0","4","0","0"
"[object Object]","2020","Aaron Jones","Packers","RB","12","34","9","8","8","0","56","16","13","43","15","2","1","0","4","0","0"
