"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2020","Allen Robinson","Bears","WR","11","28","8","7","7","0","148","142","123","25","1","0","0","1","7","0","0"
"[object Object]","2020","Marvin Jones","Lions","WR","16","53","8","8","7","1","144","163","125","19","4","0","0","0","7","0","0"
"[object Object]","2020","Chris Godwin","Buccaneers","WR","11","27","5","5","4","0","136","110","96","40","31","0","1","0","4","0","0"
"[object Object]","2020","CeeDee Lamb","Cowboys","WR","15","40","5","5","5","0","136","136","101","35","13","0","1","2","5","1","34"
"[object Object]","2020","DJ Moore","Panthers","WR","10","18","5","2","2","0","118","156","84","34","0","1","0","0","2","0","0"
"[object Object]","2020","Kenny Golladay","Lions","WR","5","18","6","6","5","1","117","171","108","9","7","1","0","0","5","2","33"
"[object Object]","2020","Jerry Jeudy","Broncos","WR","14","34","5","3","2","0","117","153","45","72","0","1","0","0","2","0","0"
"[object Object]","2020","A.J. Brown","Titans","WR","8","19","3","3","3","0","108","99","99","9","6","0","0","0","3","0","0"
"[object Object]","2020","Nelson Agholor","Raiders","WR","13","33","4","4","3","1","106","171","68","38","9","1","0","0","3","2","95"
"[object Object]","2020","Robert Woods","Rams","WR","13","26","5","5","5","0","105","71","71","34","9","1","0","0","5","0","0"
"[object Object]","2020","Justin Jefferson","Vikings","WR","12","25","3","3","3","0","101","53","53","48","14","0","0","0","3","0","0"
"[object Object]","2020","Brandon Aiyuk","49ers","WR","11","25","5","5","5","0","100","89","89","11","8","0","1","0","5","0","0"
"[object Object]","2020","Amari Cooper","Cowboys","WR","14","27","2","2","2","0","93","75","75","18","6","0","0","0","2","0","0"
"[object Object]","2020","T.Y. Hilton","Colts","WR","11","21","5","2","2","0","91","160","75","16","5","1","0","0","2","0","0"
"[object Object]","2020","Christian Kirk","Cardinals","WR","11","31","3","2","2","0","91","108","80","11","1","1","0","0","2","0","0"
"[object Object]","2020","Mike Gesicki","Dolphins","TE","10","26","7","4","4","0","87","112","68","19","5","0","0","0","4","0","0"
"[object Object]","2020","Curtis Samuel","Panthers","WR","11","22","2","2","2","0","79","72","72","7","6","0","0","0","2","0","0"
"[object Object]","2020","Chase Claypool","Steelers","WR","14","20","6","3","3","0","75","183","63","12","6","1","0","0","3","1","29"
"[object Object]","2020","Emmanuel Sanders","Saints","WR","14","44","4","3","3","0","73","90","75","-2","-2","0","0","0","3","0","0"
"[object Object]","2020","Allen Lazard","Packers","WR","8","18","2","1","1","0","72","56","43","29","3","0","0","0","1","0","0"
"[object Object]","2020","Darnell Mooney","Bears","WR","14","41","4","2","2","0","69","149","65","4","4","0","0","0","2","0","0"
"[object Object]","2020","Damiere Byrd","Patriots","WR","14","42","3","2","2","0","67","90","64","3","0","1","0","0","2","0","0"
"[object Object]","2020","DaeSean Hamilton","Broncos","WR","7","16","2","2","2","0","65","43","43","22","0","1","0","0","2","0","0"
"[object Object]","2020","Tee Higgins","Bengals","WR","14","52","6","5","4","0","64","124","54","10","6","0","0","0","4","0","0"
"[object Object]","2020","Darius Slayton","Giants","WR","11","17","4","2","2","0","62","101","55","7","3","1","0","0","2","0","0"
"[object Object]","2020","Michael Gallup","Cowboys","WR","15","35","5","3","3","0","61","89","51","10","2","0","0","0","2","0","0"
"[object Object]","2020","Miles Boykin","Ravens","WR","10","20","3","2","2","0","58","66","48","10","2","1","0","0","2","0","0"
"[object Object]","2020","Gabriel Davis","Bills","WR","13","39","3","1","1","0","56","124","36","20","8","1","1","0","1","1","10"
"[object Object]","2020","Quintez Cephus","Lions","WR","7","14","5","3","3","0","54","92","36","18","4","0","0","0","3","0","0"
"[object Object]","2020","Danny Amendola","Lions","WR","12","27","3","2","2","0","54","58","39","15","1","0","0","0","2","0","0"
"[object Object]","2020","Cam Sims","Football Team","WR","10","33","3","3","2","1","54","77","40","14","3","0","0","0","2","0","0"
"[object Object]","2020","DK Metcalf","Seahawks","WR","14","52","2","1","1","0","52","60","45","7","6","0","0","0","1","0","0"
"[object Object]","2020","Russell Gage","Falcons","WR","11","28","4","2","2","0","51","77","37","14","4","0","0","0","2","1","14"
"[object Object]","2020","Julian Edelman","Patriots","WR","5","9","2","2","2","0","50","40","40","10","5","0","0","0","2","0","0"
"[object Object]","2020","K.J. Hamler","Broncos","WR","11","28","3","1","1","0","49","79","45","4","2","1","0","0","1","0","0"
"[object Object]","2020","Scotty Miller","Buccaneers","WR","9","15","3","2","1","1","48","98","48","0","0","1","0","0","1","0","0"
"[object Object]","2020","Preston Williams","Dolphins","WR","7","32","3","2","2","0","47","54","42","5","1","1","0","0","2","0","0"
"[object Object]","2020","John Brown","Bills","WR","9","31","3","1","1","0","46","120","44","2","1","1","0","0","1","0","0"
"[object Object]","2020","Kyle Rudolph","Vikings","TE","5","8","2","2","2","0","44","38","38","6","2","0","0","0","2","0","0"
"[object Object]","2020","Tyler Lockett","Seahawks","WR","13","30","3","2","1","0","43","114","43","0","0","1","0","0","1","0","0"
"[object Object]","2020","Terry McLaurin","Football Team","WR","13","27","3","2","1","0","42","90","40","2","2","0","0","0","1","0","0"
"[object Object]","2020","Alex Erickson","Bengals","WR","2","4","1","1","1","0","42","24","24","18","5","0","0","0","1","0","0"
"[object Object]","2020","Davante Adams","Packers","WR","10","16","1","1","1","0","42","42","42","0","0","0","0","0","1","0","0"
"[object Object]","2020","Calvin Ridley","Falcons","WR","13","32","6","3","1","0","39","188","37","2","0","1","0","0","1","0","0"
"[object Object]","2020","Will Fuller V","Texans","WR","10","24","3","2","2","0","39","67","26","13","4","0","0","0","2","0","0"
"[object Object]","2020","Chris Herndon","Jets","TE","8","10","2","2","2","0","39","35","35","4","0","1","0","0","2","0","0"
"[object Object]","2020","Devin Duvernay","Ravens","WR","5","6","1","1","1","0","39","37","37","2","0","0","0","0","1","0","0"
"[object Object]","2020","Brandin Cooks","Texans","WR","15","54","7","2","1","0","38","187","37","1","0","1","0","0","1","0","0"
"[object Object]","2020","Jared Cook","Saints","TE","7","16","3","3","2","1","37","50","34","3","1","1","0","0","2","0","0"
"[object Object]","2020","Marcus Johnson","Colts","WR","6","17","3","1","1","0","36","120","35","1","0","0","0","0","1","0","0"
"[object Object]","2020","A.J. Green","Bengals","WR","16","60","9","4","2","1","35","175","30","5","1","0","0","0","2","0","0"
"[object Object]","2020","Kendrick Bourne","49ers","WR","9","18","3","2","2","0","35","39","26","9","5","0","0","0","2","1","12"
"[object Object]","2020","Tyler Johnson","Buccaneers","WR","7","15","3","1","1","0","35","79","15","20","17","0","2","0","1","0","0"
"[object Object]","2020","Hunter Henry","Chargers","TE","9","21","3","2","2","0","34","45","28","6","4","0","0","0","2","0","0"
"[object Object]","2020","Zach Pascal","Colts","WR","11","17","3","2","2","0","34","43","33","1","0","1","0","0","2","0","0"
"[object Object]","2020","Ashton Dulin","Colts","WR","3","4","1","1","1","0","34","27","27","7","0","0","0","0","1","0","0"
"[object Object]","2020","Laviska Shenault","Jaguars","WR","6","12","1","1","1","0","34","34","34","0","0","1","0","0","1","0","0"
"[object Object]","2020","Dan Arnold","Cardinals","TE","11","18","2","2","2","0","32","28","28","4","1","1","0","0","2","0","0"
"[object Object]","2020","Greg Ward","Eagles","WR","14","49","1","1","1","0","32","32","32","0","0","1","0","0","1","0","0"
"[object Object]","2020","Willie Snead IV","Ravens","WR","9","16","1","1","1","0","32","22","22","10","9","0","1","0","1","0","0"
"[object Object]","2020","T.J. Hockenson","Lions","TE","10","14","4","3","2","0","30","59","23","7","1","0","0","0","2","0","0"
"[object Object]","2020","Richie James Jr.","49ers","WR","5","9","3","1","1","0","29","100","22","7","5","0","1","0","1","0","0"
"[object Object]","2020","Trent Taylor","49ers","WR","5","6","1","1","1","0","29","17","17","12","8","0","1","0","1","0","0"
"[object Object]","2020","Anthony Miller","Bears","WR","12","34","4","2","1","1","28","127","28","0","0","1","0","0","1","0","0"
"[object Object]","2020","Dontrelle Inman","Football Team","WR","5","16","2","2","2","0","28","28","28","0","0","2","0","0","2","0","0"
"[object Object]","2020","Malik Taylor","Packers","WR","3","4","1","1","1","0","26","18","18","8","26","0","0","0","1","0","0"
"[object Object]","2020","Dalton Schultz","Cowboys","TE","11","17","1","1","1","0","26","21","21","5","3","1","1","0","1","0","0"
"[object Object]","2020","Bryan Edwards","Raiders","WR","8","14","1","1","1","0","25","14","14","11","9","0","0","0","1","0","0"
"[object Object]","2020","Marvin Hall","2 teams","WR","8","18","4","2","1","0","24","118","24","0","0","1","0","0","1","1","11"
"[object Object]","2020","Cole Beasley","Bills","WR","13","24","2","1","1","0","24","35","15","9","0","0","0","0","1","0","0"
"[object Object]","2020","Sterling Shepard","Giants","WR","6","9","1","1","1","0","24","21","21","3","2","0","0","0","1","0","0"
"[object Object]","2020","JuJu Smith-Schuster","Steelers","WR","11","21","1","1","1","0","24","14","14","10","0","0","0","0","1","0","0"
"[object Object]","2020","Jarvis Landry","Browns","WR","11","21","3","1","1","0","22","53","21","1","1","0","0","0","1","0","0"
"[object Object]","2020","Lynn Bowden Jr.","Dolphins","WR","8","13","1","1","1","0","22","22","22","0","0","0","0","0","1","0","0"
"[object Object]","2020","Mike Williams","Chargers","WR","12","28","5","3","1","0","21","122","19","2","2","0","0","1","1","0","0"
"[object Object]","2020","Terry Godwin","Jaguars","WR","3","6","2","1","1","0","21","43","18","3","1","0","0","0","1","0","0"
"[object Object]","2020","Eric Ebron","Steelers","TE","12","30","2","1","1","0","21","31","19","2","2","0","0","0","1","0","0"
"[object Object]","2020","Michael Thomas","Saints","WR","6","14","2","1","1","0","20","30","16","4","4","0","1","0","1","0","0"
"[object Object]","2020","Golden Tate","Giants","WR","9","12","1","1","1","0","20","15","15","5","0","0","0","0","1","0","0"
"[object Object]","2020","Ross Dwelley","49ers","TE","6","11","1","1","1","0","20","13","13","7","4","0","0","0","1","0","0"
"[object Object]","2020","DeSean Jackson","Eagles","WR","5","12","3","1","1","0","19","127","19","0","0","0","0","0","1","0","0"
"[object Object]","2020","James Washington","Steelers","WR","12","16","3","1","1","0","19","45","19","0","0","1","0","0","1","0","0"
"[object Object]","2020","Darrius Shepherd","Packers","WR","6","7","2","1","1","0","19","49","18","1","0","0","0","0","1","0","0"
"[object Object]","2020","Adam Shaheen","Dolphins","TE","2","2","1","1","1","0","19","17","17","2","0","0","0","0","1","0","0"
"[object Object]","2020","Tre'Quan Smith","Saints","WR","12","23","1","1","1","0","19","16","16","3","0","0","0","0","1","0","0"
"[object Object]","2020","Marquise Brown","Ravens","WR","15","41","5","4","1","1","18","175","18","0","0","1","0","0","1","0","0"
"[object Object]","2020","Isaiah Ford","Dolphins","WR","7","13","3","2","1","0","18","42","17","1","1","0","0","0","1","0","0"
"[object Object]","2020","Jakeem Grant","Dolphins","WR","9","15","3","2","1","1","18","92","18","0","0","0","0","0","1","0","0"
"[object Object]","2020","Travis Fulgham","Eagles","WR","11","34","3","1","1","0","18","62","18","0","0","1","0","0","1","0","0"
"[object Object]","2020","Donovan Peoples-Jones","Browns","WR","7","11","2","2","1","0","18","26","14","4","0","0","0","0","1","0","0"
"[object Object]","2020","Adam Humphries","Titans","WR","4","6","2","2","1","0","18","46","18","0","0","1","0","0","1","0","0"
"[object Object]","2020","Jordan Reed","49ers","TE","6","12","4","3","1","1","17","52","12","5","2","0","0","0","1","0","0"
"[object Object]","2020","Tyler Eifert","Jaguars","TE","8","8","3","1","1","0","17","58","17","0","0","0","0","0","1","0","0"
"[object Object]","2020","Collin Johnson","Jaguars","WR","9","11","2","1","1","0","17","53","15","2","2","0","0","0","1","0","0"
"[object Object]","2020","Jack Doyle","Colts","TE","4","7","2","2","1","0","17","25","13","4","2","0","0","0","1","0","0"
"[object Object]","2020","Julio Jones","Falcons","WR","7","16","2","1","1","0","17","25","12","5","2","0","0","0","1","0","0"
"[object Object]","2020","Tyler Higbee","Rams","TE","5","6","1","1","1","0","17","14","14","3","1","0","0","0","1","0","0"
"[object Object]","2020","Josh Reynolds","Rams","WR","6","8","1","1","1","0","17","13","13","4","1","0","0","0","1","0","0"
"[object Object]","2020","Chris Conley","Jaguars","WR","7","10","1","1","1","0","17","14","14","3","3","0","0","0","1","0","0"
"[object Object]","2020","Mo Alie-Cox","Colts","TE","3","3","1","1","1","0","17","14","14","3","3","0","0","0","1","0","0"
"[object Object]","2020","Chad Beebe","Vikings","WR","9","16","2","1","1","0","16","21","15","1","0","0","0","0","1","0","0"
"[object Object]","2020","Hunter Renfrow","Raiders","WR","9","14","1","1","1","0","16","11","11","5","3","0","0","0","1","0","0"
"[object Object]","2020","Travis Kelce","Chiefs","TE","6","11","5","2","1","0","15","71","15","0","0","0","0","0","1","0","0"
"[object Object]","2020","DeVante Parker","Dolphins","WR","11","26","3","2","1","0","15","39","11","4","3","0","0","0","1","0","0"
"[object Object]","2020","Adam Thielen","Vikings","WR","14","29","3","1","1","0","15","79","12","3","1","0","0","0","1","0","0"
"[object Object]","2020","Van Jefferson","Rams","WR","8","14","2","2","1","0","15","58","15","0","0","0","0","0","1","0","0"
"[object Object]","2020","Randall Cobb","Texans","WR","7","15","2","1","1","0","15","22","13","2","0","0","0","0","1","0","0"
"[object Object]","2020","Stefon Diggs","Bills","WR","11","18","2","2","1","1","15","54","13","2","1","0","0","0","1","0","0"
"[object Object]","2020","KhaDarel Hodge","Browns","WR","6","15","1","1","1","0","15","14","14","1","0","0","0","0","1","0","0"
"[object Object]","2020","DJ Chark Jr","Jaguars","WR","13","34","5","1","1","0","14","117","14","0","0","0","0","0","1","0","0"
"[object Object]","2020","George Kittle","49ers","TE","5","9","3","2","1","1","14","44","12","2","4","0","0","0","0","0","0"
"[object Object]","2020","Pharaoh Brown","Texans","TE","2","2","1","1","1","0","14","14","14","0","0","0","0","0","1","0","0"
"[object Object]","2020","Keenan Allen","Chargers","WR","9","17","1","1","1","0","14","14","14","0","0","1","0","0","1","0","0"
"[object Object]","2020","Drew Sample","Bengals","TE","9","13","1","1","1","0","14","13","13","1","0","0","0","0","1","0","0"
"[object Object]","2020","Mark Andrews","Ravens","TE","6","8","1","1","1","0","14","14","14","0","0","0","0","0","1","0","0"
"[object Object]","2020","Jacob Hollister","Seahawks","TE","6","9","1","1","1","0","11","10","10","1","1","0","0","0","1","0","0"
"[object Object]","2020","Tim Patrick","Broncos","WR","9","17","4","1","1","0","9","124","8","1","0","1","0","0","1","1","17"
"[object Object]","2020","Tyler Boyd","Bengals","WR","14","48","3","2","1","0","9","46","9","0","0","1","0","0","1","0","0"
"[object Object]","2020","Dez Bryant","Ravens","WR","3","5","1","1","1","0","8","8","8","0","0","1","0","0","1","0","0"
"[object Object]","2020","Darren Waller","Raiders","TE","10","18","2","1","1","0","2","14","2","0","-1","1","0","0","1","0","0"
"[object Object]","2020","Michael Pittman Jr.","Colts","WR","10","23","4","0","0","0","0","132","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Jalen Guyton","Chargers","WR","11","42","3","1","0","1","0","113","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Denzel Mims","Jets","WR","8","27","3","0","0","0","0","112","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Jakobi Meyers","Patriots","WR","9","23","3","0","0","0","0","103","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Marquez Valdes-Scantling","Packers","WR","14","32","3","1","0","1","0","129","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Dallas Goedert","Eagles","TE","8","25","3","2","0","0","0","71","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Henry Ruggs","Raiders","WR","8","21","3","1","0","0","0","135","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Jalen Reagor","Eagles","WR","11","33","3","1","0","0","0","102","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","John Hightower","Eagles","WR","10","31","3","1","0","0","0","142","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Austin Mack","Giants","WR","2","5","2","0","0","0","0","26","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Keke Coutee","Texans","WR","5","9","2","1","0","1","0","67","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","N'Keal Harry","Patriots","WR","10","20","2","0","0","0","0","53","0","0","0","0","0","0","0","1","16"
"[object Object]","2020","Diontae Johnson","Steelers","WR","13","18","2","0","0","0","0","84","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Harrison Bryant","Browns","TE","10","14","2","0","0","0","0","47","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Steven Sims","Football Team","WR","7","12","2","0","0","0","0","42","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Logan Thomas","Football Team","TE","10","19","2","0","0","0","0","43","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Odell Beckham","Browns","WR","5","7","2","0","0","0","0","25","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Antonio Brown","Buccaneers","WR","7","19","2","0","0","0","0","81","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Rob Gronkowski","Buccaneers","TE","14","23","2","0","0","0","0","54","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Jamal Agnew","Lions","WR","7","13","2","1","0","0","0","72","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Cooper Kupp","Rams","WR","7","15","2","1","0","1","0","39","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Rashard Higgins","Browns","WR","7","22","2","1","0","0","0","42","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Tyreek Hill","Chiefs","WR","15","47","2","1","0","1","0","77","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Demarcus Robinson","Chiefs","WR","10","28","1","0","0","0","0","24","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Kalif Raymond","Titans","WR","5","7","1","0","0","0","0","44","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Jamison Crowder","Jets","WR","7","9","1","0","0","0","0","21","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","DeAndre Carter","Texans","WR","1","2","1","1","0","1","0","12","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Mike Thomas","Bengals","WR","7","10","1","0","0","0","0","20","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Robby Anderson","Panthers","WR","10","18","1","0","0","0","0","27","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Evan Engram","Giants","TE","6","7","1","1","0","1","0","17","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Noah Brown","Cowboys","WR","1","1","1","0","0","0","0","30","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Eric Tomlinson","Ravens","TE","3","3","1","0","0","0","0","34","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","DeAndre Hopkins","Cardinals","WR","10","15","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Breshad Perriman","Jets","WR","11","38","1","0","0","0","0","20","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Alshon Jeffery","Eagles","WR","6","16","1","0","0","0","0","17","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Trey Burton","Colts","TE","2","3","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Jimmy Graham","Bears","TE","8","12","1","0","0","0","0","17","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Jesse James","Lions","TE","5","6","1","0","0","0","0","14","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Mohamed Sanu","2 teams","WR","7","20","1","1","0","0","0","45","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Donald Parham","Chargers","TE","5","9","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","KeeSean Johnson","Cardinals","WR","5","5","1","1","0","1","0","13","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Foster Moreau","Raiders","TE","2","2","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"[object Object]","2020","Devin Asiasi","Patriots","TE","1","1","1","1","0","1","0","13","0","0","0","0","0","0","0","0","0"
