"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","Adam Thielen","Vikings","WR","6","7","3","3","3","0","13","13","13","0","7","3","0","0","3","0","0"
"[object Object]","2021","Cameron Brate","Buccaneers","TE","4","8","3","3","3","0","13","13","13","0","0","3","0","0","3","0","0"
"[object Object]","2021","Mike Williams","Chargers","WR","8","11","4","3","3","0","12","17","11","1","1","2","0","0","3","1","3"
"[object Object]","2021","Zach Ertz","2 teams","TE","10","11","4","3","3","0","11","14","9","2","0","2","0","0","2","1","3"
"[object Object]","2021","Dawson Knox","Bills","TE","7","13","4","4","3","0","11","12","11","0","0","3","0","0","3","0","0"
"[object Object]","2021","Stefon Diggs","Bills","WR","8","11","3","2","2","0","11","17","11","0","0","2","0","0","2","1","2"
"[object Object]","2021","Jaylen Waddle","Dolphins","WR","7","10","3","3","3","0","11","5","5","6","3","3","0","0","3","0","0"
"[object Object]","2021","Travis Kelce","Chiefs","TE","6","8","4","4","4","0","10","10","10","0","0","3","0","0","4","0","0"
"[object Object]","2021","Diontae Johnson","Steelers","WR","6","11","4","3","2","1","10","12","7","3","0","2","0","0","2","0","0"
"[object Object]","2021","Olamide Zaccheaus","Falcons","WR","6","8","2","2","2","0","10","10","10","0","0","2","0","0","2","0","0"
"[object Object]","2021","Cooper Kupp","Rams","WR","6","11","4","2","2","0","9","12","6","3","1","2","0","0","2","0","0"
"[object Object]","2021","Hunter Renfrow","Raiders","WR","5","6","3","3","3","0","9","9","9","0","0","2","0","0","2","0","0"
"[object Object]","2021","Tyreek Hill","Chiefs","WR","6","8","3","3","3","0","9","9","9","0","0","3","0","0","3","0","0"
"[object Object]","2021","Amari Cooper","Cowboys","WR","6","8","2","2","2","0","9","9","9","0","0","2","0","0","2","0","0"
"[object Object]","2021","Ezekiel Elliott","Cowboys","RB","3","3","2","2","2","0","9","-1","-1","10","0","2","0","0","2","0","0"
"[object Object]","2021","Odell Beckham","2 teams","WR","5","6","3","2","2","0","8","10","7","1","0","2","0","0","2","0","0"
"[object Object]","2021","Myles Gaskin","Dolphins","RB","3","4","2","2","2","0","8","0","0","8","5","2","1","0","2","0","0"
"[object Object]","2021","Davante Adams","Packers","WR","8","17","6","6","6","0","7","7","2","5","1","5","0","0","5","1","4"
"[object Object]","2021","Mike Gesicki","Dolphins","TE","6","8","3","2","2","0","7","6","5","2","0","2","0","0","2","0","0"
"[object Object]","2021","Gabriel Davis","Bills","WR","5","6","3","2","2","0","7","10","7","0","0","2","0","0","2","0","0"
"[object Object]","2021","Najee Harris","Steelers","RB","5","8","3","3","2","1","7","6","4","3","2","1","0","0","1","0","0"
"[object Object]","2021","Auden Tate","Bengals","WR","1","2","1","1","1","0","7","-1","-1","8","0","1","0","0","1","0","0"
"[object Object]","2021","Tavon Austin","Jaguars","WR","2","2","1","1","1","0","7","7","7","0","0","1","0","0","1","0","0"
"[object Object]","2021","Justin Jefferson","Vikings","WR","8","10","6","2","2","0","6","20","6","0","0","2","0","0","2","0","0"
"[object Object]","2021","DeAndre Hopkins","Cardinals","WR","6","10","5","2","2","0","6","18","6","0","0","2","0","0","2","0","0"
"[object Object]","2021","Calvin Ridley","Falcons","WR","3","6","3","2","2","0","6","3","-1","7","2","1","0","0","1","0","0"
"[object Object]","2021","Mike Evans","Buccaneers","WR","9","13","3","3","3","0","6","7","6","0","0","3","0","0","3","1","1"
"[object Object]","2021","Pat Freiermuth","Steelers","TE","5","9","3","2","2","0","6","8","6","0","0","2","0","0","2","0","0"
"[object Object]","2021","Gerald Everett","Seahawks","TE","2","2","1","1","1","0","6","6","6","0","0","1","0","0","1","0","0"
"[object Object]","2021","DJ Moore","Panthers","WR","6","6","1","1","1","0","6","6","6","0","0","1","0","0","1","0","0"
"[object Object]","2021","Cam Sims","Football Team","WR","3","3","1","1","1","0","6","6","6","0","0","1","0","0","1","0","0"
"[object Object]","2021","Jason Cabinda","Lions","FB","2","2","1","1","1","0","6","3","3","3","0","1","0","0","1","0","0"
"[object Object]","2021","Chester Rogers","Titans","WR","3","3","1","1","1","0","6","6","6","0","0","1","0","0","1","0","0"
