"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","Cooper Kupp","Rams","WR","15","18","18","14","13","1","376","386","265","111","28","1","0","2","12","0","0"
"[object Object]","2021","Amon-Ra St. Brown","Lions","WR","7","12","12","11","11","0","227","140","121","106","18","1","0","0","10","0","0"
"[object Object]","2021","Tyler Lockett","Seahawks","WR","9","15","14","10","9","0","209","392","194","15","4","0","0","0","8","1","47"
"[object Object]","2021","DeSean Jackson","2 teams","WR","5","9","9","6","5","0","199","249","117","82","2","1","0","0","5","0","0"
"[object Object]","2021","Justin Jefferson","Vikings","WR","8","15","15","13","9","0","191","305","166","25","21","2","0","0","8","0","0"
"[object Object]","2021","Van Jefferson","Rams","WR","6","9","9","7","6","0","183","189","138","45","17","0","0","0","6","0","0"
"[object Object]","2021","CeeDee Lamb","Cowboys","WR","11","16","15","12","7","2","174","320","141","33","27","0","4","0","6","1","15"
"[object Object]","2021","Davante Adams","Packers","WR","6","8","8","7","7","0","169","148","127","42","3","1","0","2","6","0","0"
"[object Object]","2021","Darnell Mooney","Bears","WR","13","21","19","13","7","1","165","444","142","23","4","0","0","0","7","2","32"
"[object Object]","2021","Mike Evans","Buccaneers","WR","6","10","10","8","7","1","163","241","132","31","10","0","0","0","7","0","0"
"[object Object]","2021","Marquez Callaway","Saints","WR","4","8","8","7","7","0","163","142","143","20","13","0","0","1","7","0","0"
"[object Object]","2021","Deebo Samuel","49ers","WR","6","8","8","7","7","0","158","110","96","62","38","0","1","1","5","0","0"
"[object Object]","2021","Tyreek Hill","Chiefs","WR","7","11","11","8","7","0","149","267","115","34","19","1","0","2","6","0","0"
"[object Object]","2021","Christian Kirk","Cardinals","WR","5","6","6","5","5","0","144","153","120","24","11","2","0","0","5","0","0"
"[object Object]","2021","Zay Jones","Raiders","WR","6","8","8","6","6","0","139","192","117","22","3","1","0","1","5","0","0"
"[object Object]","2021","Courtland Sutton","Broncos","WR","8","13","11","4","4","0","138","407","123","15","9","0","0","0","4","2","35"
"[object Object]","2021","DeVonta Smith","Eagles","WR","5","12","12","6","6","0","135","258","104","31","6","1","0","1","6","0","0"
"[object Object]","2021","Keenan Allen","Chargers","WR","8","12","12","10","8","0","132","175","106","26","8","0","0","0","8","0","0"
"[object Object]","2021","Darren Waller","Raiders","TE","5","11","11","9","6","1","127","131","71","56","17","0","1","0","6","0","0"
"[object Object]","2021","Deonte Harty","Saints","WR","5","6","6","5","5","0","118","120","85","33","3","1","0","0","5","0","0"
"[object Object]","2021","Stefon Diggs","Bills","WR","8","15","14","8","7","0","115","307","93","22","11","0","1","1","5","1","8"
"[object Object]","2021","Jared Cook","Chargers","TE","7","8","7","7","7","0","115","95","79","36","12","1","0","0","6","1","13"
"[object Object]","2021","Jerry Jeudy","Broncos","WR","6","8","8","4","4","0","114","191","72","42","6","0","0","1","4","0","0"
"[object Object]","2021","Henry Ruggs","Raiders","WR","4","4","4","2","2","0","112","165","96","16","17","1","0","0","2","0","0"
"[object Object]","2021","A.J. Brown","Titans","WR","6","10","10","6","4","0","110","178","103","7","4","0","0","0","4","0","0"
"[object Object]","2021","Jakobi Meyers","Patriots","WR","6","8","8","6","5","0","107","160","89","18","3","0","0","0","5","0","0"
"[object Object]","2021","K.J. Osborn","Vikings","WR","5","7","7","4","4","0","106","110","68","38","5","2","0","0","3","0","0"
"[object Object]","2021","Tyler Higbee","Rams","TE","6","7","7","6","6","0","103","77","71","32","13","0","0","0","5","0","0"
"[object Object]","2021","Rob Gronkowski","Buccaneers","TE","6","13","13","8","8","0","97","108","20","77","20","0","1","0","3","0","0"
"[object Object]","2021","Robert Woods","Rams","WR","5","6","6","5","5","0","97","80","67","30","7","0","0","0","5","0","0"
"[object Object]","2021","T.Y. Hilton","Colts","WR","3","3","3","3","2","0","97","112","97","0","0","1","0","0","2","0","0"
"[object Object]","2021","Elijah Moore","Jets","WR","6","12","12","8","4","2","96","272","84","12","4","0","0","0","4","1","23"
"[object Object]","2021","Kendrick Bourne","Patriots","WR","3","3","3","3","3","0","96","45","45","51","1","1","0","0","1","0","0"
"[object Object]","2021","Tim Patrick","Broncos","WR","8","11","10","8","6","0","93","182","52","41","12","2","0","0","5","1","35"
"[object Object]","2021","Kenny Golladay","Giants","WR","6","8","8","5","5","0","93","125","78","15","3","0","0","0","5","0","0"
"[object Object]","2021","Dyami Brown","Football Team","WR","4","5","5","5","4","0","91","92","75","16","12","0","0","2","3","0","0"
"[object Object]","2021","Corey Davis","Jets","WR","7","10","9","6","4","0","90","237","81","9","7","0","0","0","4","1","19"
