"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","DeVonta Smith","Eagles","WR","12","25","10","9","9","0","127","120","108","19","14","0","1","2","6","0","0"
"[object Object]","2021","Tee Higgins","Bengals","WR","8","11","6","6","4","1","73","74","53","20","18","0","2","0","3","0","0"
"[object Object]","2021","Diontae Johnson","Steelers","WR","6","10","6","4","4","0","66","81","55","11","2","0","0","1","4","0","0"
"[object Object]","2021","Stefon Diggs","Bills","WR","10","14","8","6","6","0","61","77","57","4","5","1","1","0","5","0","0"
"[object Object]","2021","Mike Evans","Buccaneers","WR","4","7","4","4","3","0","54","69","50","4","1","0","0","0","3","0","0"
"[object Object]","2021","Tyler Lockett","Seahawks","WR","6","7","5","4","4","0","53","67","53","0","0","1","0","0","4","0","0"
"[object Object]","2021","Tyler Johnson","Buccaneers","WR","3","5","5","5","3","1","50","64","35","15","18","0","1","0","2","0","0"
"[object Object]","2021","Amari Cooper","Cowboys","WR","8","8","6","4","4","0","43","54","39","4","4","1","0","0","3","0","0"
"[object Object]","2021","Deonte Harty","Saints","WR","4","6","5","4","3","0","38","51","28","10","3","0","0","0","3","0","0"
"[object Object]","2021","Kendrick Bourne","Patriots","WR","5","8","3","3","3","0","37","38","38","-1","0","0","0","0","2","0","0"
"[object Object]","2021","DJ Moore","Panthers","WR","11","20","5","4","3","0","36","58","35","1","0","0","0","0","2","0","0"
"[object Object]","2021","Adam Thielen","Vikings","WR","9","15","6","3","3","0","34","72","35","-1","0","1","0","0","3","0","0"
"[object Object]","2021","Robby Anderson","Panthers","WR","9","15","6","3","3","0","33","70","32","1","0","0","0","0","2","0","0"
"[object Object]","2021","Chase Claypool","Steelers","WR","4","4","3","3","2","1","33","40","27","6","2","0","0","0","2","0","0"
"[object Object]","2021","Odell Beckham","2 teams","WR","5","8","3","2","2","0","28","43","28","0","0","0","0","0","2","0","0"
"[object Object]","2021","Justin Jefferson","Vikings","WR","9","13","5","2","2","0","27","56","25","2","4","0","1","0","1","0","0"
"[object Object]","2021","Parris Campbell","Colts","WR","3","8","4","3","2","0","27","52","24","3","0","0","0","0","2","1","9"
"[object Object]","2021","Brandin Cooks","Texans","WR","6","9","4","4","3","0","26","44","22","4","4","0","0","1","3","1","14"
