"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","Ja'Marr Chase","Bengals","WR","16","105","14","12","6","3","273","466","183","90","19","4","0","1","6","0","0"
"[object Object]","2021","Chase Claypool","Steelers","WR","15","101","12","8","7","0","253","400","223","30","19","0","0","1","7","3","69"
"[object Object]","2021","Diontae Johnson","Steelers","WR","16","101","15","8","6","0","231","479","176","55","15","2","0","2","6","4","117"
"[object Object]","2021","Terry McLaurin","Football Team","WR","17","85","13","6","5","0","198","469","187","11","0","2","0","0","5","0","0"
"[object Object]","2021","Justin Jefferson","Vikings","WR","16","35","9","6","5","0","185","369","163","22","11","2","0","0","5","2","36"
"[object Object]","2021","DK Metcalf","Seahawks","WR","15","60","11","4","3","0","158","418","88","70","51","2","0","1","3","1","16"
"[object Object]","2021","Davante Adams","Packers","WR","15","32","10","6","4","1","152","269","120","32","14","0","0","0","4","0","0"
"[object Object]","2021","Tee Higgins","Bengals","WR","13","66","8","5","3","0","123","311","116","7","2","1","0","0","3","1","26"
"[object Object]","2021","Kyle Pitts","Falcons","TE","11","19","6","5","3","1","123","177","94","29","23","0","1","0","3","1","34"
"[object Object]","2021","Mike Evans","Buccaneers","WR","16","76","7","3","3","0","120","254","91","29","8","2","0","0","3","1","19"
"[object Object]","2021","Donovan Peoples-Jones","Browns","WR","14","71","5","2","2","0","117","197","100","17","0","2","0","0","2","0","0"
"[object Object]","2021","A.J. Green","Cardinals","WR","16","46","7","5","3","0","115","215","95","20","9","1","0","0","3","0","0"
"[object Object]","2021","Emmanuel Sanders","Bills","WR","14","75","5","4","3","0","107","187","91","16","9","0","0","0","3","1","31"
"[object Object]","2021","Mack Hollins","Dolphins","WR","12","27","2","2","2","0","105","83","83","22","8","1","0","0","2","0","0"
"[object Object]","2021","Courtland Sutton","Broncos","WR","17","120","10","4","3","0","101","424","89","12","5","1","0","0","3","3","54"
"[object Object]","2021","Stefon Diggs","Bills","WR","17","66","8","3","3","0","101","289","94","7","4","0","0","0","3","2","49"
"[object Object]","2021","Mike Williams","Chargers","WR","15","73","10","3","2","0","98","314","57","41","9","2","0","0","2","1","33"
"[object Object]","2021","Quez Watkins","Eagles","WR","16","25","6","3","1","1","91","182","39","52","19","0","1","0","1","0","0"
"[object Object]","2021","A.J. Brown","Titans","WR","8","17","5","3","2","0","88","185","80","8","4","0","0","0","2","0","0"
"[object Object]","2021","Chris Conley","Texans","WR","13","40","3","2","2","0","78","74","66","12","2","2","0","0","2","0","0"
"[object Object]","2021","Darius Slayton","Giants","WR","13","51","5","3","2","0","75","170","70","5","1","1","0","0","2","0","0"
"[object Object]","2021","Michael Gallup","Cowboys","WR","8","54","5","3","2","0","73","173","60","13","13","0","0","0","2","1","29"
"[object Object]","2021","DeSean Jackson","2 teams","WR","12","36","5","2","1","0","68","246","40","28","0","0","0","0","1","2","47"
"[object Object]","2021","Freddie Swain","Seahawks","WR","12","34","1","1","1","0","68","33","33","35","0","1","0","0","1","0","0"
"[object Object]","2021","Jakobi Meyers","Patriots","WR","7","11","3","3","2","1","65","90","62","3","0","0","0","0","2","0","0"
"[object Object]","2021","K.J. Osborn","Vikings","WR","15","27","2","1","1","0","64","66","31","33","4","1","0","0","1","0","0"
"[object Object]","2021","Cordarrelle Patterson","Falcons","RB","5","6","1","1","1","0","64","28","28","36","31","0","0","0","1","0","0"
"[object Object]","2021","Amari Cooper","Cowboys","WR","14","44","6","3","2","0","61","182","53","8","4","0","0","0","2","0","0"
"[object Object]","2021","Jalen Guyton","Chargers","WR","16","82","2","2","1","0","59","123","57","2","1","1","0","0","1","1","14"
"[object Object]","2021","Tim Patrick","Broncos","WR","16","76","4","2","2","0","58","138","48","10","5","0","0","0","2","1","35"
"[object Object]","2021","Marvin Jones","Jaguars","WR","16","85","6","4","2","0","56","168","36","20","0","1","0","0","2","0","0"
"[object Object]","2021","Lil'Jordan Humphrey","Saints","WR","4","4","1","1","1","0","56","20","20","36","7","0","0","0","1","0","0"
"[object Object]","2021","Saquon Barkley","Giants","RB","4","8","1","1","1","0","54","25","25","29","19","1","0","1","1","0","0"
"[object Object]","2021","John Ross","Giants","WR","9","32","2","1","1","0","52","70","43","9","8","1","0","0","1","0","0"
"[object Object]","2021","Joe Mixon","Bengals","RB","7","10","1","1","1","0","52","48","48","4","0","0","0","0","1","0","0"
"[object Object]","2021","Isaiah Ford","Dolphins","WR","4","4","1","1","1","0","52","24","24","28","10","0","0","1","1","0","0"
"[object Object]","2021","Julio Jones","Titans","WR","7","15","2","1","1","0","51","86","45","6","5","0","0","0","1","0","0"
"[object Object]","2021","Marquez Callaway","Saints","WR","16","47","5","2","1","0","49","149","49","0","0","1","0","0","1","0","0"
"[object Object]","2021","CeeDee Lamb","Cowboys","WR","15","47","5","2","1","0","49","169","35","14","0","1","0","0","1","0","0"
"[object Object]","2021","Marquise Goodwin","Bears","WR","13","36","5","1","1","0","49","172","34","15","0","1","0","0","1","1","21"
"[object Object]","2021","Mecole Hardman","Chiefs","WR","13","47","2","1","1","0","49","70","26","23","20","0","0","0","1","0","0"
"[object Object]","2021","Olamide Zaccheaus","Falcons","WR","12","20","1","1","1","0","49","34","34","15","9","0","0","0","1","0","0"
"[object Object]","2021","Antonio Brown","Buccaneers","WR","7","21","5","2","1","1","47","152","43","4","0","1","0","0","1","0","0"
"[object Object]","2021","DeVonta Smith","Eagles","WR","15","64","9","4","1","0","46","278","36","10","2","0","0","0","1","0","0"
"[object Object]","2021","Deonte Harty","Saints","WR","9","28","3","1","1","0","46","94","30","16","5","0","0","0","1","1","27"
"[object Object]","2021","Kendrick Bourne","Patriots","WR","14","30","3","1","1","0","46","121","38","8","4","0","0","0","1","0","0"
"[object Object]","2021","KhaDarel Hodge","Lions","WR","9","25","3","2","1","0","42","91","42","0","0","0","0","0","1","1","42"
"[object Object]","2021","Keenan Allen","Chargers","WR","11","16","3","1","1","0","42","126","39","3","0","0","0","0","1","0","0"
"[object Object]","2021","Cooper Kupp","Rams","WR","9","9","2","1","1","0","42","79","40","2","2","0","0","0","1","0","0"
"[object Object]","2021","Marquez Valdes-Scantling","Packers","WR","11","54","10","1","1","0","41","324","25","16","4","0","0","0","1","0","0"
"[object Object]","2021","Laquon Treadwell","Jaguars","WR","10","38","3","3","1","1","41","104","37","4","3","0","0","0","1","0","0"
"[object Object]","2021","DJ Chark Jr","Jaguars","WR","3","19","2","1","1","0","41","67","37","4","2","1","0","0","1","0","0"
"[object Object]","2021","Brandin Cooks","Texans","WR","12","42","4","1","1","0","40","179","40","0","40","1","0","0","1","2","63"
"[object Object]","2021","Marquise Brown","Ravens","WR","16","88","8","4","1","2","39","333","39","0","0","1","0","0","1","1","41"
"[object Object]","2021","Ricky Seals-Jones","Football Team","TE","6","11","1","1","1","0","39","19","19","20","0","1","0","0","1","0","0"
"[object Object]","2021","Kevin White","Saints","WR","5","14","3","3","1","1","38","96","29","9","4","0","0","0","1","0","0"
"[object Object]","2021","C.J. Board","Giants","WR","5","12","1","1","1","0","38","34","34","4","3","0","0","0","1","0","0"
"[object Object]","2021","Kenny Golladay","Giants","WR","13","60","6","2","1","0","36","217","30","6","4","0","0","0","1","1","9"
"[object Object]","2021","Jaylen Waddle","Dolphins","WR","11","25","2","1","1","0","36","58","28","8","0","0","0","0","1","0","0"
"[object Object]","2021","Cedrick Wilson","Cowboys","WR","8","13","2","2","1","0","35","69","35","0","0","0","0","0","1","0","0"
"[object Object]","2021","Allen Lazard","Packers","WR","11","18","2","1","1","0","34","56","30","4","4","0","0","0","1","0","0"
"[object Object]","2021","Seth Williams","Broncos","WR","2","5","1","1","1","0","34","29","29","5","5","0","0","0","1","0","0"
"[object Object]","2021","Hayden Hurst","Falcons","TE","5","5","2","1","1","0","33","67","30","3","3","0","0","0","1","0","0"
"[object Object]","2021","Cyril Grayson Jr","Buccaneers","WR","4","13","1","1","1","0","33","29","29","4","0","1","0","0","1","0","0"
"[object Object]","2021","Tyreek Hill","Chiefs","WR","13","47","7","1","1","0","32","245","26","6","0","0","0","0","1","0","0"
"[object Object]","2021","Tyler Conklin","Vikings","TE","6","6","2","2","1","0","31","60","27","4","4","0","0","0","1","0","0"
"[object Object]","2021","Rashod Bateman","Ravens","WR","11","59","3","2","1","0","30","130","25","5","3","0","0","0","1","2","38"
"[object Object]","2021","DeVante Parker","Dolphins","WR","10","38","2","1","1","0","30","60","30","0","0","0","0","0","1","0","0"
"[object Object]","2021","Sammy Watkins","Ravens","WR","12","39","5","2","1","0","29","146","27","2","2","0","0","0","1","0","0"
"[object Object]","2021","Jaelon Darden","Buccaneers","WR","6","15","3","1","1","0","29","100","25","4","3","0","0","0","1","0","0"
"[object Object]","2021","Harrison Bryant","Browns","TE","4","6","1","1","1","0","29","24","24","5","2","0","0","0","1","0","0"
"[object Object]","2021","Brandon Bolden","Patriots","RB","1","1","1","1","1","0","28","23","23","5","4","0","0","0","1","0","0"
"[object Object]","2021","C.J. Ham","Vikings","FB","1","1","1","1","1","0","27","27","27","0","0","0","0","0","1","0","0"
"[object Object]","2021","Chris Godwin","Buccaneers","WR","9","13","2","1","1","0","26","37","21","5","3","0","0","0","1","0","0"
"[object Object]","2021","DJ Moore","Panthers","WR","16","60","9","4","1","0","25","309","22","3","3","0","0","0","1","1","33"
