"Rank","Season","Player","Team","Pos","Games","Routes Run","Tgts","Catchable","Rec","Drops","Yds","Intended Air Yards","Air Yards","YAC","YAContact","TDs","Brkn Tkls","Missed Tkls","First Downs","DPI","DPI Yards"
"[object Object]","2021","Kyle Pitts","Falcons","TE","16","62","19","17","15","0","236","191","138","98","37","0","2","2","12","1","8"
"[object Object]","2021","DJ Moore","Panthers","WR","17","67","31","28","19","5","233","228","140","93","47","1","2","1","18","0","0"
"[object Object]","2021","Ja'Marr Chase","Bengals","WR","16","53","22","18","13","1","229","165","87","142","108","2","2","2","10","1","5"
"[object Object]","2021","Brandon Aiyuk","49ers","WR","15","43","21","18","14","1","218","139","95","123","82","0","5","2","8","0","0"
"[object Object]","2021","Davante Adams","Packers","WR","16","75","23","19","16","1","192","154","94","98","32","2","2","1","12","3","14"
"[object Object]","2021","Diontae Johnson","Steelers","WR","16","48","22","16","14","1","171","93","49","122","14","2","4","4","9","0","0"
"[object Object]","2021","Terry McLaurin","Football Team","WR","16","42","19","15","13","0","163","133","100","63","45","2","4","0","8","0","0"
"[object Object]","2021","Kenny Golladay","Giants","WR","14","44","17","12","10","1","149","169","90","59","52","0","1","1","8","2","15"
"[object Object]","2021","Jaylen Waddle","Dolphins","WR","16","73","20","18","13","4","138","125","74","64","17","1","0","1","6","1","5"
"[object Object]","2021","Mike Gesicki","Dolphins","TE","16","48","18","16","12","0","137","151","98","39","15","0","0","0","10","0","0"
"[object Object]","2021","Chase Claypool","Steelers","WR","15","55","19","14","9","3","136","95","42","94","61","1","2","1","7","1","4"
"[object Object]","2021","Justin Jefferson","Vikings","WR","16","50","14","12","9","2","135","109","76","59","31","0","1","0","7","0","0"
"[object Object]","2021","Tee Higgins","Bengals","WR","14","57","14","14","12","1","130","92","80","50","24","2","0","2","10","1","5"
"[object Object]","2021","Amari Cooper","Cowboys","WR","15","46","19","15","12","2","125","160","94","31","16","1","0","0","10","2","9"
"[object Object]","2021","Mike Evans","Buccaneers","WR","13","34","11","10","8","1","125","85","64","61","22","2","1","1","8","0","0"
"[object Object]","2021","DK Metcalf","Seahawks","WR","16","48","19","13","10","1","124","152","77","47","23","0","1","0","8","0","0"
"[object Object]","2021","DeVante Parker","Dolphins","WR","10","54","17","13","11","0","120","113","64","56","18","1","0","0","7","0","0"
"[object Object]","2021","Kendrick Bourne","Patriots","WR","12","24","6","6","5","0","112","48","35","77","24","0","1","0","4","1","7"
"[object Object]","2021","Nico Collins","Texans","WR","11","25","10","8","7","0","111","71","56","55","17","1","0","0","5","0","0"
"[object Object]","2021","Russell Gage","Falcons","WR","13","34","15","12","11","0","110","106","77","33","22","1","1","1","4","0","0"
"[object Object]","2021","Nick Westbrook-Ikhine","Titans","WR","14","29","11","10","9","0","107","79","66","41","16","2","0","0","6","0","0"
"[object Object]","2021","Stefon Diggs","Bills","WR","17","39","17","13","11","1","104","121","74","30","20","1","1","0","9","1","2"
"[object Object]","2021","K.J. Osborn","Vikings","WR","16","40","16","12","11","0","104","99","74","30","15","2","0","0","6","0","0"
"[object Object]","2021","Michael Pittman Jr.","Colts","WR","16","34","15","11","11","0","102","83","65","37","20","2","2","0","8","0","0"
"[object Object]","2021","Darren Waller","Raiders","TE","7","25","9","8","8","0","100","61","49","51","19","1","1","1","7","0","0"
"[object Object]","2021","Courtland Sutton","Broncos","WR","16","32","15","14","11","0","99","100","70","29","9","0","0","0","5","0","0"
"[object Object]","2021","A.J. Brown","Titans","WR","11","30","11","9","8","1","99","81","60","39","13","0","0","1","6","0","0"
"[object Object]","2021","Chris Godwin","Buccaneers","WR","13","32","10","9","7","1","99","64","37","62","48","2","2","0","5","0","0"
"[object Object]","2021","Mark Andrews","Ravens","TE","9","17","9","7","6","0","99","69","43","56","46","0","1","0","4","0","0"
"[object Object]","2021","Deebo Samuel","49ers","WR","15","35","17","13","8","5","97","97","50","47","30","0","2","0","7","0","0"
"[object Object]","2021","Brandin Cooks","Texans","WR","13","32","12","11","10","0","97","74","51","46","11","2","0","0","9","0","0"
"[object Object]","2021","Tyreek Hill","Chiefs","WR","17","39","13","11","8","3","94","93","56","38","7","2","0","1","7","0","0"
"[object Object]","2021","Tyler Boyd","Bengals","WR","13","36","7","6","5","0","93","55","40","53","11","0","0","1","5","0","0"
"[object Object]","2021","Cooper Kupp","Rams","WR","12","29","10","8","5","0","92","62","34","58","15","2","0","2","4","1","5"
"[object Object]","2021","Keelan Cole","Jets","WR","10","20","9","7","6","0","92","67","44","48","6","1","0","0","4","0","0"
"[object Object]","2021","Cole Beasley","Bills","WR","15","31","13","10","8","2","88","84","58","30","14","0","0","0","6","0","0"
"[object Object]","2021","Chris Conley","Texans","WR","10","15","7","7","6","1","87","63","54","33","19","0","1","0","6","0","0"
"[object Object]","2021","Keenan Allen","Chargers","WR","15","48","12","11","8","1","86","74","49","37","13","1","0","0","7","0","0"
"[object Object]","2021","Darnell Mooney","Bears","WR","15","31","11","8","6","0","82","67","37","45","17","0","0","0","6","0","0"
"[object Object]","2021","Jarvis Landry","Browns","WR","10","27","9","8","8","0","82","60","54","28","19","0","1","0","7","0","0"
"[object Object]","2021","Marquise Brown","Ravens","WR","12","36","9","8","6","1","80","58","41","39","8","0","0","1","5","0","0"
"[object Object]","2021","Travis Kelce","Chiefs","TE","14","38","10","8","6","2","78","82","46","32","21","0","1","0","5","0","0"
"[object Object]","2021","A.J. Green","Cardinals","WR","15","36","10","8","6","1","77","76","63","14","3","0","0","0","5","0","0"
"[object Object]","2021","Jakobi Meyers","Patriots","WR","13","19","9","7","6","0","77","64","49","28","5","0","1","0","5","0","0"
"[object Object]","2021","Sammy Watkins","Ravens","WR","12","25","7","7","6","1","72","57","50","22","6","0","0","1","4","0","0"
"[object Object]","2021","Josh Reynolds","2 teams","WR","5","13","5","5","5","0","71","32","32","39","29","0","1","0","3","0","0"
"[object Object]","2021","Rashod Bateman","Ravens","WR","11","44","10","8","7","1","70","52","36","34","16","1","0","1","6","0","0"
"[object Object]","2021","Mike Williams","Chargers","WR","16","52","17","15","8","3","66","73","36","30","15","0","0","0","4","0","0"
"[object Object]","2021","Odell Beckham","2 teams","WR","10","27","12","10","8","1","66","61","46","20","5","1","0","0","5","0","0"
"[object Object]","2021","Austin Hooper","Browns","TE","9","10","9","8","6","0","65","56","36","29","8","0","0","0","4","0","0"
"[object Object]","2021","Christian Kirk","Cardinals","WR","14","23","7","5","5","0","65","41","39","26","6","0","0","0","3","0","0"
"[object Object]","2021","Elijah Moore","Jets","WR","9","18","3","3","2","1","65","21","17","48","2","2","0","0","2","0","0"
"[object Object]","2021","Hunter Renfrow","Raiders","WR","10","18","5","4","4","0","63","38","32","31","14","0","0","0","4","0","0"
"[object Object]","2021","George Kittle","49ers","TE","9","12","7","7","5","0","62","53","39","23","19","1","2","0","4","0","0"
"[object Object]","2021","Tim Patrick","Broncos","WR","11","18","6","5","5","0","61","38","31","30","14","0","0","0","5","0","0"
"[object Object]","2021","Laquon Treadwell","Jaguars","WR","8","14","4","4","4","0","59","27","27","32","13","0","1","1","3","0","0"
"[object Object]","2021","Marvin Jones","Jaguars","WR","15","34","8","7","5","0","57","60","42","15","4","0","0","0","1","0","0"
"[object Object]","2021","Tajae Sharpe","Falcons","WR","10","19","7","6","6","0","57","50","45","12","3","0","0","0","3","0","0"
